Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,10:29:15,117.2,117,16200,117.2,10800,54000,23878800
ABCAPITAL-I.NFO,12/09/2022,10:29:15,117.2,117,16200,117.2,10800,0,23878800
ABCAPITAL-I.NFO,12/09/2022,10:29:31,117.2,117.1,5400,117.25,10800,10800,23878800
ABCAPITAL-I.NFO,12/09/2022,10:29:45,117.2,117.1,16200,117.25,5400,0,23878800
ABCAPITAL-I.NFO,12/09/2022,10:30:00,117.3,117.1,16200,117.3,5400,16200,23868000
ABCAPITAL-I.NFO,12/09/2022,10:30:00,117.3,117.1,16200,117.3,5400,0,23868000
ABCAPITAL-I.NFO,12/09/2022,10:30:15,117.3,117.1,16200,117.3,10800,0,23868000
ABCAPITAL-I.NFO,12/09/2022,10:30:30,117.3,117.1,16200,117.25,10800,5400,23868000
ABCAPITAL-I.NFO,12/09/2022,10:30:44,117.15,117.1,16200,117.25,5400,5400,23868000
ABCAPITAL-I.NFO,12/09/2022,10:31:07,117.1,117.05,5400,117.2,5400,16200,23868000
ABCAPITAL-I.NFO,12/09/2022,10:31:32,117.1,117,21600,117.15,5400,10800,23868000
ABCAPITAL-I.NFO,12/09/2022,10:31:52,117.1,117,21600,117.1,5400,0,23868000
ABCAPITAL-I.NFO,12/09/2022,10:32:10,117,117,5400,117.1,16200,5400,23868000
ABCAPITAL-I.NFO,12/09/2022,10:32:30,117,116.8,10800,117.05,5400,16200,23868000
ABCAPITAL-I.NFO,12/09/2022,10:32:56,117,116.85,5400,117,5400,0,23868000
ABCAPITAL-I.NFO,12/09/2022,10:33:17,117.05,117,5400,117.1,5400,10800,23895000
ABCAPITAL-I.NFO,12/09/2022,10:33:37,117.2,117.05,10800,117.2,16200,10800,23895000
ABCAPITAL-I.NFO,12/09/2022,10:33:55,117.2,117.05,16200,117.2,16200,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:34:13,117.05,116.9,5400,117.1,16200,16200,23895000
ABCAPITAL-I.NFO,12/09/2022,10:34:30,117.05,116.9,5400,117.1,16200,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:35:02,117.05,116.9,5400,117.15,10800,27000,23895000
ABCAPITAL-I.NFO,12/09/2022,10:35:26,117.05,116.9,5400,117.05,5400,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:35:51,117.05,116.8,5400,117.05,5400,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:36:12,117.05,116.8,5400,116.95,5400,0,23895000
ABCAPITAL-I.NFO,12/09/2022,10:36:35,116.8,116.7,10800,116.9,5400,5400,23911200
ABCAPITAL-I.NFO,12/09/2022,10:37:00,116.8,116.7,5400,116.95,5400,5400,23911200
ABCAPITAL-I.NFO,12/09/2022,10:37:21,116.8,116.7,5400,116.95,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:37:40,116.8,116.7,5400,116.9,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:37:58,116.8,116.7,5400,116.95,16200,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:38:17,116.8,116.7,10800,116.9,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:38:35,116.8,116.7,5400,116.9,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:39:09,116.8,116.75,5400,116.95,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:39:56,116.8,116.75,10800,116.95,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:40:16,116.8,116.75,10800,116.9,10800,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:40:35,116.8,116.75,10800,116.9,5400,0,23911200
